frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
375,0,615,645,821,759,0.785713,0.999998,0.000002,orange,0.999998
378,0,614,645,823,759,0.763438,0.999999,0.000001,orange,0.999999
381,0,614,645,823,759,0.763131,0.999999,0.000001,orange,0.999999
384,0,615,646,818,756,0.732315,0.999998,0.000002,orange,0.999998
387,0,615,646,819,757,0.747871,0.999998,0.000002,orange,0.999998
390,0,615,646,815,757,0.668207,0.999999,0.000001,orange,0.999999
393,0,615,646,815,757,0.686670,0.999999,0.000001,orange,0.999999
396,0,615,646,814,758,0.591012,0.999999,0.000001,orange,0.999999
399,0,615,646,814,758,0.618516,0.999999,0.000001,orange,0.999999
402,0,610,647,817,761,0.200447,1.000000,0.000000,orange,1.000000
405,0,611,647,818,760,0.263916,1.000000,0.000000,orange,1.000000
408,0,605,647,814,757,0.731236,0.999992,0.000009,orange,0.999992
411,0,604,647,813,757,0.715460,0.999992,0.000008,orange,0.999992
414,0,604,647,815,757,0.732522,0.999994,0.000006,orange,0.999994
417,0,604,647,814,757,0.725890,0.999992,0.000007,orange,0.999992
420,0,604,647,817,757,0.707897,0.999994,0.000006,orange,0.999994
423,0,608,647,814,757,0.680510,0.999993,0.000007,orange,0.999993
426,0,609,647,815,757,0.668420,0.999997,0.000003,orange,0.999997
429,0,609,647,814,756,0.659415,0.999987,0.000014,orange,0.999987
432,0,610,648,813,757,0.722952,0.999997,0.000003,orange,0.999997
435,0,610,648,813,757,0.717232,0.999997,0.000003,orange,0.999997
438,0,613,648,814,757,0.186671,0.999999,0.000001,orange,0.999999
438,1,681,648,814,755,0.152933,1.000000,0.000000,orange,1.000000
441,0,680,647,814,755,0.182365,1.000000,0.000000,orange,1.000000
441,1,613,648,814,757,0.172691,0.999998,0.000002,orange,0.999998
444,0,604,649,817,761,0.355957,1.000000,0.000000,orange,1.000000
444,1,680,649,815,755,0.122983,1.000000,0.000000,orange,1.000000
447,0,604,649,817,761,0.357978,1.000000,0.000000,orange,1.000000
447,1,680,649,815,755,0.111429,1.000000,0.000000,orange,1.000000
450,0,602,649,815,763,0.516667,1.000000,0.000000,orange,1.000000
453,0,602,649,815,763,0.516981,1.000000,0.000000,orange,1.000000
456,0,607,649,813,761,0.502260,1.000000,0.000000,orange,1.000000
459,0,607,649,813,761,0.473554,1.000000,0.000000,orange,1.000000
462,0,606,649,814,761,0.366755,1.000000,0.000000,orange,1.000000
465,0,606,649,814,760,0.375919,1.000000,0.000000,orange,1.000000
468,0,606,650,813,761,0.302512,1.000000,0.000000,orange,1.000000
471,0,606,650,813,761,0.310358,1.000000,0.000000,orange,1.000000
474,0,606,651,812,760,0.380112,1.000000,0.000000,orange,1.000000
477,0,606,651,812,760,0.361867,1.000000,0.000000,orange,1.000000
480,0,606,651,814,761,0.253952,1.000000,0.000000,orange,1.000000
483,0,605,651,814,761,0.266203,1.000000,0.000000,orange,1.000000
486,0,605,651,812,761,0.335178,1.000000,0.000000,orange,1.000000
489,0,605,651,812,761,0.340632,1.000000,0.000000,orange,1.000000
492,0,605,650,815,762,0.385535,1.000000,0.000000,orange,1.000000
495,0,605,650,815,761,0.417157,1.000000,0.000000,orange,1.000000
498,0,605,651,813,760,0.369221,1.000000,0.000000,orange,1.000000
501,0,605,651,813,760,0.370916,1.000000,0.000000,orange,1.000000
504,0,606,651,813,760,0.325415,1.000000,0.000000,orange,1.000000
507,0,606,651,813,760,0.324931,1.000000,0.000000,orange,1.000000
540,0,1057,597,1714,1071,0.240484,1.000000,0.000000,orange,1.000000
540,1,639,633,875,762,0.175323,1.000000,0.000000,orange,1.000000
543,0,1056,598,1714,1071,0.369627,1.000000,0.000000,orange,1.000000
543,1,639,633,875,761,0.178019,1.000000,0.000000,orange,1.000000
546,0,641,632,875,755,0.744858,1.000000,0.000000,orange,1.000000
549,0,641,633,875,756,0.715510,1.000000,0.000000,orange,1.000000
552,0,640,633,874,757,0.815014,1.000000,0.000000,orange,1.000000
555,0,640,633,874,756,0.803230,1.000000,0.000000,orange,1.000000
558,0,640,633,874,756,0.801192,1.000000,0.000000,orange,1.000000
561,0,640,633,874,756,0.813970,1.000000,0.000000,orange,1.000000
564,0,640,633,874,757,0.751003,1.000000,0.000000,orange,1.000000
567,0,640,633,874,757,0.741629,1.000000,0.000000,orange,1.000000
570,0,640,633,875,756,0.722383,1.000000,0.000000,orange,1.000000
573,0,640,633,875,756,0.700218,1.000000,0.000000,orange,1.000000
576,0,640,633,874,757,0.851225,1.000000,0.000000,orange,1.000000
579,0,640,633,874,757,0.845961,1.000000,0.000000,orange,1.000000
582,0,639,633,874,756,0.808726,1.000000,0.000000,orange,1.000000
585,0,639,633,874,756,0.811028,1.000000,0.000000,orange,1.000000
588,0,639,633,874,756,0.844060,1.000000,0.000000,orange,1.000000
591,0,639,633,874,756,0.841600,1.000000,0.000000,orange,1.000000
594,0,640,632,874,756,0.620137,1.000000,0.000000,orange,1.000000
597,0,639,632,874,755,0.616613,1.000000,0.000000,orange,1.000000
600,0,640,632,874,756,0.571395,1.000000,0.000000,orange,1.000000
603,0,640,632,874,756,0.582463,1.000000,0.000000,orange,1.000000
606,0,637,632,874,758,0.677008,1.000000,0.000000,orange,1.000000
609,0,637,633,874,758,0.727401,1.000000,0.000000,orange,1.000000
612,0,638,632,875,759,0.735078,1.000000,0.000000,orange,1.000000
615,0,638,632,875,758,0.656679,1.000000,0.000000,orange,1.000000
618,0,638,632,875,758,0.521022,1.000000,0.000000,orange,1.000000
